n,metodo,tempo_us
100000,selecao,4303852
100000,insercao,28633
100000,merge,12118
10000,selecao,42465
10000,insercao,2928
10000,merge,3230
20000,selecao,173036
20000,insercao,6491
20000,merge,3412
30000,selecao,397366
30000,insercao,12110
30000,merge,4532
40000,selecao,680926
40000,insercao,11632
40000,merge,4757
50000,selecao,1085161
50000,insercao,17529
50000,merge,5907
60000,selecao,1522437
60000,insercao,17291
60000,merge,7115
70000,selecao,2063699
70000,insercao,20036
70000,merge,8908
80000,selecao,2689568
80000,insercao,22906
80000,merge,9680
90000,selecao,3413399
90000,insercao,25835
90000,merge,10773
